dates,nzd0214-0000,nzd0214-0001,nzd0214-0002,nzd0214-0003,nzd0214-0004,nzd0214-0005,nzd0214-0006,nzd0214-0007,nzd0214-0008,nzd0214-0009,nzd0214-0010,nzd0214-0011,nzd0214-0012,nzd0214-0013,satname
2015-05-12 21:58:53+00:00,344.77333333333337,340.26666666666665,341.97749999999996,304.65999999999997,314.575,320.34,332.275,318.9075,324.0,321.425,254.77999999999997,,,,L8
2015-05-19 22:05:04+00:00,343.8175,339.90999999999997,341.9,304.476,313.914,321.02,332.62,321.076,324.214,321.54,256.558,,,,L8
2015-05-28 21:58:55+00:00,344.60200000000003,340.87600000000003,342.6033333333333,304.8583333333333,314.3616666666667,322.37,333.51,323.5133333333333,325.1816666666667,322.82666666666665,259.85833333333335,,,,L8
2015-06-04 22:05:12+00:00,344.9216666666667,340.46166666666664,342.95285714285717,304.57428571428574,314.25714285714287,322.8385714285714,333.64,324.36857142857144,325.4814285714286,322.8385714285714,262.89428571428573,,,,L8
2015-07-06 22:05:30+00:00,345.218,335.80833333333334,343.63000000000005,304.16,313.8283333333334,318.93142857142857,334.5133333333333,325.06166666666667,325.96999999999997,323.17333333333335,265.5266666666667,,,,L8
2015-07-22 22:05:37+00:00,345.6566666666667,336.32142857142856,343.43857142857144,303.81,314.5571428571429,319.91875,334.58428571428567,325.9142857142857,326.44714285714286,323.4771428571429,267.62,,,,L8
2015-08-07 22:05:40+00:00,345.6566666666667,335.3075,340.06,299.96625,310.985,318.47444444444443,334.58428571428567,325.9142857142857,326.44714285714286,323.4771428571429,267.62,,,,L8
2015-08-16 21:59:34+00:00,345.67285714285714,335.73555555555555,340.5677777777778,300.5388888888889,312.28555555555556,319.47400000000005,334.78999999999996,326.69624999999996,326.4875,323.04625,267.94125,,,,L8
2015-09-01 21:59:39+00:00,344.37142857142857,335.69,340.4088888888889,300.40111111111105,312.86888888888893,320.45799999999997,334.95625,328.27125,326.91749999999996,322.38250000000005,267.78625,,,,L8
2015-09-24 22:06:01+00:00,345.1885714285714,336.1633333333333,340.88444444444445,301.2966666666666,315.03555555555556,321.466,335.395,331.35125,327.69875,322.59875,266.93,,,,L8
2015-12-29 22:06:09+00:00,344.146,334.5414285714286,337.6766666666667,299.06333333333333,315.2,318.57000000000005,334.038,328.03000000000003,325.66,319.5,260.906,,,,L8
2016-02-24 21:59:45+00:00,342.37000000000006,340.50500000000005,341.18,304.055,318.9925,325.09000000000003,332.78499999999997,326.385,323.34000000000003,317.90749999999997,252.92249999999999,,,,L8
2016-03-02 22:05:55+00:00,345.06,341.96000000000004,343.665,306.08,319.735,326.16249999999997,333.935,328.0725,324.7575,320.4575,252.2075,,,,L8
2016-03-11 21:59:42+00:00,342.89750000000004,341.314,343.804,305.508,318.79200000000003,325.45799999999997,333.326,328.306,325.07,320.438,250.978,,,,L8
2016-05-14 21:59:24+00:00,344.315,341.26800000000003,345.45799999999997,305.366,317.62600000000003,325.71,334.05,330.0,325.52599999999995,321.764,256.13199999999995,,,,L8
2016-05-21 22:05:38+00:00,344.286,341.2716666666667,345.3833333333334,305.49666666666667,318.225,325.7733333333333,334.0233333333333,330.39166666666665,325.915,321.535,256.22166666666664,,,,L8
2016-06-15 21:59:33+00:00,345.24500000000006,342.4114285714286,345.81142857142856,306.1914285714286,319.48,327.42999999999995,335.0442857142857,332.07428571428574,327.3542857142857,322.86285714285714,259.0657142857143,179.27,,,L8
2016-07-01 21:59:42+00:00,347.48500000000007,343.0842857142857,347.07428571428574,306.6557142857143,321.1257142857143,329.2628571428572,336.25857142857143,335.1685714285714,329.87,324.75428571428574,263.4985714285714,179.27,,,L8
2016-07-17 21:59:49+00:00,347.5557142857143,343.3525,347.37375,306.695,321.5625,329.91625,336.75,335.6575,330.6025,325.1,264.05375,179.27,,,L8
2016-07-24 22:06:01+00:00,347.14625,342.84555555555556,346.73333333333335,306.42333333333335,321.55444444444447,330.0177777777778,336.69444444444446,335.25444444444446,330.5244444444445,324.67777777777775,265.9377777777778,179.27,,,L8
2016-08-18 21:59:57+00:00,346.71333333333337,342.28100000000006,345.651,306.012,321.129,329.673,336.37,334.899,330.179,324.206,264.923,179.27,,,L8
2016-09-10 22:06:15+00:00,348.22125,342.86125,345.79625,306.71875,322.86375000000004,331.83625,337.48875,336.11875,331.58875,325.0725,270.71500000000003,179.27,,,L8
2016-10-21 22:00:12+00:00,348.22125,342.4222222222222,345.3644444444445,306.24222222222227,321.96222222222224,330.8122222222222,337.00333333333333,335.24,331.2733333333333,325.12111111111113,269.1255555555556,179.27,,,L8
2016-11-22 22:00:11+00:00,348.9157142857143,342.81375,345.195,306.65,323.08500000000004,332.21875,337.54,335.6925,333.555,325.69,272.79375,179.27,,,L8
2016-12-15 22:06:18+00:00,348.55428571428564,341.77750000000003,344.365,305.64375,321.28999999999996,329.8175,336.65125,332.39625,331.89125,324.30571428571426,270.77375,,,,L8
2017-01-16 22:06:11+00:00,346.41499999999996,340.74857142857144,342.3671428571429,304.95142857142855,319.0842857142857,325.96285714285716,334.7057142857143,328.2928571428571,329.53142857142853,322.05333333333334,267.37142857142857,,,,L8
2017-01-25 21:59:56+00:00,349.75,342.99571428571426,344.4771428571429,308.01142857142855,320.1014285714286,328.64142857142855,335.9057142857143,330.34142857142854,331.51000000000005,324.3483333333333,265.09833333333336,,317.0,,L8
2017-02-10 21:59:48+00:00,349.66857142857145,342.05375,344.295,306.60125,318.62874999999997,325.74875,335.32375,330.34142857142854,330.86375,323.74142857142857,262.7885714285714,,317.0,,L8
2017-03-14 21:59:34+00:00,349.445,342.2685714285714,345.4342857142857,306.6057142857143,318.08142857142855,324.4785714285714,335.24571428571426,329.63,332.06142857142856,324.3333333333333,260.695,,317.0,,L8
2017-03-30 21:59:26+00:00,347.4971428571429,342.435,345.65374999999995,306.67625000000004,318.19374999999997,324.53000000000003,335.40875,330.07428571428574,332.49375,323.92,261.59714285714284,,317.0,,L8
2017-04-15 21:59:18+00:00,346.70125,342.0422222222222,345.31999999999994,306.4566666666667,318.21888888888884,324.8355555555556,335.5288888888889,330.13874999999996,332.3411111111111,323.835,260.41,,317.0,,L8
2017-05-01 21:59:07+00:00,346.9822222222222,342.1677777777778,346.0233333333333,307.1377777777778,319.10999999999996,325.78,335.9822222222222,330.8425,332.5777777777778,323.7375,264.06,,317.0,,L8
2017-05-08 22:05:23+00:00,346.98,342.356,345.854,307.15600000000006,319.32399999999996,326.325,336.04900000000004,330.85555555555555,332.023,323.39000000000004,263.09333333333336,,317.0,,L8
2017-05-24 22:05:34+00:00,347.112,342.323,345.467,306.915,318.421,325.854,335.96000000000004,330.5244444444445,330.95500000000004,323.915,261.7577777777778,,317.0,,L8
2017-06-25 22:05:47+00:00,346.886,342.209,345.201,306.954,319.255,327.162,336.30899999999997,332.17777777777775,331.445,323.769,262.3622222222223,,317.0,,L8
2017-07-11 22:05:50+00:00,346.4136363636364,341.71909090909094,344.5490909090909,305.82000000000005,318.84727272727275,327.26454545454544,336.1054545454545,331.817,331.2090909090909,322.7009090909091,262.418,,317.0,,L8
2017-08-05 21:59:51+00:00,345.48199999999997,341.082,343.697,304.404,319.469,327.293,336.40500000000003,332.2677777777778,331.142,321.968,264.412,,,,L8
2017-08-12 22:06:04+00:00,345.10900000000004,341.392,343.203,305.14399999999995,320.56000000000006,329.565,336.837,332.053,331.207,322.02,267.58900000000006,,,,L8
